year,sea_level_year_max_feet
1950,96.3185457992554
1951,95.6709893035889
1952,95.5487423706055
1953,96.328991394043
1954,96.4875567245484
1955,96.2250675964356
1956,95.0810526657105
1957,95.738455657959
1958,95.8387968826294
1959,96.1288033294678
1960,95.7093212890625
1961,95.6045855331421
1962,95.0733794021607
1963,95.536478881836
1964,95.6973959732056
1965,95.4706021118164
1966,95.5754717636109
1967,95.53111618042
1968,95.3392657089234
1969,94.319238357544
1970,95.944931678772
1971,95.0358284759522
1972,94.236047821045
1973,96.6750263977051
1974,96.6591425704956
1975,95.1226170349122
1976,95.2020945358277
1977,95.0225951004029
1978,96.7103834915162
1979,95.605145149231
1980,95.4465317535401
1981,95.8514345932007
1982,94.9364416885376
1983,94.4350960540772
1984,96.2459278869629
1985,94.6004969406128
1986,96.0667237091065
1987,96.9925158309937
1988,95.8493523406983
1989,95.8692272949219
1990,95.9393286514283
1991,95.7000790405274
1992,94.920231704712
1993,95.9130284118653
1994,96.2221527862549
1995,96.246084098816
1996,96.6900313186646
1997,97.3796208190918
1998,95.8384415435792
1999,97.0879526901246
2000,96.9023146438599
2001,96.4861559677124
2002,95.5065720367432
2003,98.0576042938233
2004,96.7247618484498
2005,96.4818146514893
2006,96.4818146514893
2006,97.2921713638306
2007,97.4174773025513
2008,97.6085947799683
2009,97.9748652267456
2010,96.4563624191285
2011,97.2273709106446
2012,97.9413363265992
2013,98.1407244491578
2014,96.6733183670044
2015,96.6660931396485
2016,97.3323710250855
2017,97.3898775863648
2018,98.4483107376099
2019,97.6587508010865
2020,98.59992893219
2021,98.0286141204834
2022,99.2879391479493
2023,98.3376406478882
2024,97.3904663848877
2025,98.8562966156006
2026,98.6292727279664
2027,97.849648551941
2028,99.0604294586182
2029,97.8055933761597
2030,98.943164138794
2031,98.6835640716553
2032,97.4003832626343
2033,99.3483519363404
2034,99.6293530273438
2035,99.6476023483277
2036,99.1601784515381
2037,99.0174008178711
2038,99.1116549301148
2039,99.2505410003663
2040,99.3135475921631
2041,98.2951201248169
2042,100.746073799133
2043,99.4199244308472
2044,100.142802505493
2045,100.781535606384
2046,100.43597782135
2047,100.953998641968
2048,99.4548781204224
2049,100.145082168579
2050,100.876079826355
2051,101.442847328186
2052,101.080478744507
2053,101.076722793579
2054,101.355157546997
2055,100.987736968994
2056,100.816180305481
2057,101.381481819153
2058,100.079126434326
2059,100.355561332703
2060,101.54253452301
2061,101.125380210877
2062,101.893903045654
2063,103.116310577393
2064,102.984522705078
2065,101.016182975769
2066,101.726110916138
2067,101.969483833313
2068,102.005026321411
2069,102.632639198303
2070,104.206478767395
2071,102.770703010559
2072,103.228333358765
2073,102.710607795715
2074,102.7091847229
2075,103.350873832703
2076,103.48496711731
2077,103.298462181091
2078,103.405867271423
2079,103.605243377686
2080,104.469201354981
2081,104.294681816101
2082,103.557021980286
2083,104.352768592835
2084,103.330876998901
2085,102.99441898346
2086,102.689083175659
2087,104.832060890198
2088,104.325237541199
2089,104.279355888367
2090,106.918956832886
2091,105.176022224426
2092,106.243220405579
2093,104.955857925415
2094,106.705713920593
2095,105.780433349609
2096,106.943940429688
2097,106.30945766449
2098,107.297992019653
2099,105.72005317688
2100,106.630170898438
